id;x;y;z;type;burnt;;;;;;;;;;
D-10-1 X1;0,69;-0,06;-0,13;e;;;;;;;;;;;
D-10-1 X10;0,88;-0,48;-0,07;f ll dist;;;;;;;;;;;
D-10-1 X11;0,88;-0,25;-0,1;f ee;Y;;;;;;;;;;
D-10-1 X12;0,73;-0,25;-0,1;f ee;;;;;;;;;;;
D-10-1 X13;0,99;-0,5;-0,08;ee;;;;;;;;;;;
D-10-1 X14;0,78;-0,88;-0,07;f ll;;;;;;;;;;;
D-10-1 X15;0,85;-0,38;-0,1;e;;;;;;;;;;;
D-10-1 X16;0,48;-0,38;-0,11;ee;;;;;;;;;;;
D-10-1 X17;0,66;-0,7;-0,09;;;;;;;;;;;;
D-10-1 X18;0,09;-0,69;-0,09;Crested flake;;;;;;;;;;;
D-10-1 X19;0,93;-0,78;-0,07;f ll prox;;;;;;;;;;;
D-10-1 X2;0,73;-0,12;-0,12;f ll dist;;;;;;;;;;;
D-10-1 X20;0,87;-0,86;-0,12;f;Y;;;;;;;;;;
D-10-1 X21;0,58;-0,36;-0,09;f ll prox;;;;;;;;;;;
D-10-1 X22;0,58;-0,36;-0,09;f ee;;;;;;;;;;;
D-10-1 X23;0,58;-0,36;-0,09;B6;;;;;;;;;;;
D-10-1 X24;0,58;-0,87;-0,065;Flat core;;;;;;;;;;;
D-10-1 X25;0,44;-0,86;-0,065;f;Y;;;;;;;;;;
D-10-1 X26;0,41;-0,78;-0,06;ee;;;;;;;;;;;
D-10-1 X27;0,6;-0,6;-0,08;ll;;;;;;;;;;;
D-10-1 X29;0,3;-0,97;-0,07;;;;;;;;;;;;
D-10-1 X3;0,74;-0,13;-0,14;Polyhedric core;;;;;;;;;;;
D-10-1 X30;0,8;-0,61;-0,08;f ll prox;;;;;;;;;;;
D-10-1 X31;0,41;-0,73;-0,075;f ll dist;;;;;;;;;;;
D-10-1 X32;0,57;-0,7;-0,08;f;Y;;;;;;;;;;
D-10-1 X33;0,92;-0,83;-0,075;eee;;;;;;;;;;;
D-10-1 X34;0,76;-0,77;-0,07;f;Y;;;;;;;;;;
D-10-1 X35;0,75;-0,76;-0,07;f ll mes;;;;;;;;;;;
D-10-1 X36;0,7;-0,62;-0,08;;;;;;;;;;;;
D-10-1 X37;0,61;-0,25;-0,1;f pebble;Y;;;;;;;;;;
D-10-1 X38;0,1;-0,13;-0,12;f ll dist;;;;;;;;;;;
D-10-1 X39;0,19;-0,3;-0,11;f ee;;;;;;;;;;;
D-10-1 X4;0,72;-0,02;-0,13;f ee;Y;;;;;;;;;;
D-10-1 X40;0,46;-0,42;-0,09;f;Y;;;;;;;;;;
D-10-1 X5;0,68;-0,19;-0,12;Subconical core;Y;;;;;;;;;;
D-10-1 X6;0,72;-0,07;-0,14;e;Y;;;;;;;;;;
D-10-1 X7;0,55;-0,15;-0,13;Exhausted flat core;;;;;;;;;;;
D-10-1 X8;0,88;-0,13;-0,12;Chunk;;;;;;;;;;;
D-10-1 X9;0,95;-0,15;-0,1;ee;;;;;;;;;;;
D-10-10 X1;0,19;-0,56;-0,15;f;Y;;;;;;;;;;
D-10-10 X10;0,09;-0,55;-0,16;f;Y;;;;;;;;;;
D-10-10 X11;0,14;-0,56;-0,16;Prismatic ll Core;;;;;;;;;;;
D-10-10 X12;0,16;-0,5;-0,16;ee;;;;;;;;;;;
D-10-10 X2;0,29;-0,28;-0,16;ee;;;;;;;;;;;
D-10-10 X3;0,53;-0,21;-0,16;l;;;;;;;;;;;
D-10-10 X4;0,58;-0,19;-0,16;f;Y;;;;;;;;;;
D-10-10 X5;0,7;-0,1;-0,15;Chunk;Y;;;;;;;;;;
D-10-10 X6;0,62;-0,07;-0,15;f;Y;;;;;;;;;;
D-10-10 X7;0,55;-0,17;0,16;Chunk;;;;;;;;;;;
D-10-10 X8;0,51;-0,17;-0,16;f ll prox;;;;;;;;;;;
D-10-10 X9;0,75;-0,08;-0,15;Chunk;;;;;;;;;;;
D-10-11 X1;0,95;-0,21;-0,18;f ll dist;;;;;;;;;;;
D-10-11 X10;0,12;-0,57;-0,19;f ;Y;;;;;;;;;;
D-10-11 X11;0,07;-0,66;-0,19;f;Y;;;;;;;;;;
D-10-11 X12;0,05;-0,73;-0,19;f;;;;;;;;;;;
D-10-11 X13;;0;;f;Y;;;;;;;;;;
D-10-11 X2;0,99;-0,24;-0,18;f Pebble;;;;;;;;;;;
D-10-11 X3;0,96;-0,05;-0,17;Chunk;;;;;;;;;;;
D-10-11 X4;0,72;-0,05;-0,17;ll;;;;;;;;;;;
D-10-11 X5;0,55;-0,18;-0,19;Subconical core;;;;;;;;;;;
D-10-11 X6;0,5;-0,23;-0,18;f ;Y;;;;;;;;;;
D-10-11 X7;0,46;-0,32;-0,19;f;Y;;;;;;;;;;
D-10-11 X8;0,43;-0,38;-0,19;f;;;;;;;;;;;
D-10-11 X9;0,28;-0,49;-0,19;ee;;;;;;;;;;;
D-10-12 X1;0,92;-0,16;-0,2;f;;;;;;;;;;;
D-10-12 X10;0,65;-0,11;-0,2;f l prox;;;;;;;;;;;
D-10-12 X11;0,64;-0,1;-0,22;e;;;;;;;;;;;
D-10-12 X12;0,61;-0,05;-0,21;e;;;;;;;;;;;
D-10-12 X13;0,02;-0,89;-0,21;f;;;;;;;;;;;
D-10-12 X14;0,03;-0,78;-0,21;f;;;;;;;;;;;
D-10-12 X15;0,11;-0,62;-0,22;f;Y;;;;;;;;;;
D-10-12 X16;0,12;-0,6;-0,22;f G3;Y;;;;;;;;;;
D-10-12 X17;0,3;-0,3;-0,22;ee;;;;;;;;;;;
D-10-12 X2;0,95;-0,17;-0,21;Chunk;Y;;;;;;;;;;
D-10-12 X3;0,91;-0,19;-0,22;Crested blade ;;;;;;;;;;;
D-10-12 X4;0,13;-0,56;-0,22;e;;;;;;;;;;;
D-10-12 X5;0,16;-0,52;-0,22;f;Y;;;;;;;;;;
D-10-12 X6;0,27;-0,45;-0,23;f;;;;;;;;;;;
D-10-12 X7;0,25;-0,36;-0,23;Chunk;;;;;;;;;;;
D-10-12 X8;0,29;-0,34;-0,23;f;;;;;;;;;;;
D-10-12 X9;0,75;-0,01;-0,19;ll;;;;;;;;;;;
D-10-13 X1;0,12;-0,6;-0,29;ee;;;;;;;;;;;
D-10-13 X10;0,24;-0,46;-0,33;e;;;;;;;;;;;
D-10-13 X11;0,21;-0,5;-0,33;f G1 prox;Y;;;;;;;;;;
D-10-13 X12;0,18;-0,51;-0,33;f;;;;;;;;;;;
D-10-13 X13;0,03;-0,7;-0,3;f;Y;;;;;;;;;;
D-10-13 X14;0,59;-0,06;-0,32;ee;;;;;;;;;;;
D-10-13 X15;0,61;-0,03;-0,34;Chunk;;;;;;;;;;;
D-10-13 X16;0,65;-0,06;-0,3;f ll mes;;;;;;;;;;;
D-10-13 X17;0,67;-0,04;-0,3;ee;;;;;;;;;;;
D-10-13 X18;0,73;-0,01;-0,28;ee;;;;;;;;;;;
D-10-13 X19;;0;;Gm lunate;Y;;;;;;;;;;
D-10-13 X2;0,23;-0,48;-0,3;ee;;;;;;;;;;;
D-10-13 X3;0,27;-0,38;-0,27;Chunk;Y;;;;;;;;;;
D-10-13 X4;0,94;-0,14;-0,26;Chunk;;;;;;;;;;;
D-10-13 X5;0,94;-0,14;-0,28;e;;;;;;;;;;;
D-10-13 X6;0,94;-0,14;-0,3;Crested blade;;;;;;;;;;;
D-10-13 X7;0,65;-0,1;-0,27;el;;;;;;;;;;;
D-10-13 X8;0,7;-0,03;-0,26;Gm lunate;;;;;;;;;;;
D-10-13 X9;0,4;-0,26;-0,34;ee;;;;;;;;;;;
D-10-2 X1;0,24;-0,04;-0,14;Crested blade;;;;;;;;;;;
D-10-2 X10;0,29;-0,39;-0,12;Prismatic core;;;;;;;;;;;
D-10-2 X11;0,39;-0,24;-0,12;f ll dist;;;;;;;;;;;
D-10-2 X12;0,44;-0,24;-0,12;eee;;;;;;;;;;;
D-10-2 X13;0,45;-0,19;-0,12;f ;;;;;;;;;;;
D-10-2 X14;0,51;-0,17;-0,12;f ee;;;;;;;;;;;
D-10-2 X15;0,53;-0,16;-0,12;f ee;;;;;;;;;;;
D-10-2 X16;0,15;-0,07;-0,14;f;Y;;;;;;;;;;
D-10-2 X17;0,7;-0,03;-0,14;f ll mes;;;;;;;;;;;
D-10-2 X18;0,7;-0,03;-0,14;f eee;;;;;;;;;;;
D-10-2 X19;0,73;-0,03;-0,14;ll;;;;;;;;;;;
D-10-2 X2;0,27;-0,19;-0,12;f;;;;;;;;;;;
D-10-2 X20;0,88;-0,08;-0,14;f ll mes;;;;;;;;;;;
D-10-2 X21;0,67;-0,15;-0,13;3 f ee;;;;;;;;;;;
