id,typology,length,width,thickness,cortex,burnt,material
e93_x1,blade,54,16,7,25,,LQ
e93_x2,bladelet,14,15,7,,Y,
e93_x3_1,bladelet,11,15,5,,,LQ
e93_x3_2,e,16,20,4,,,LQ
e93_x4,e,12,15,5,,,LQ
e93_x5,bladelet,15,6,3,,,PJ
e93_x6,bladelet,16,7,4,50,Y,
e93_x7,core,29,18,13,,,LQ
e93_x8,e,35,16,10,,,LQ
e93_x9,e,10,14,5,,,LQ
e93_x10,e,14,16,9,,,LQ
e93_x11,e,21.5,11,5,25,,BJ
e93_x13,bladelet,12,10,3,,,LQ
e93_x14_1,e,19,13,6,,,LQ
e93_x14_2,e,16,10,6,50,,BJ
e93_x15,core,17,15,10,,,LQ
e93_x16,e,11,13,2,,,LQ
e93_x17,e,21,15,7,,,LQ
e93_x18,e,14,15,3,,,LQ
e93_x19,e,15,9.5,5,,,LQ
e93_x20,core,33,21,17,,,LQ
e93_x21,f,,,,,Y,
e93_x22,e,13,12,2.5,,,RJ
e93_x23,bladelet,25,13,4,,,LQ
e93_x24,e,34,10,4.5,,,LQ
e93_x25,PD,,,,,Y,
e93_x26_1,scrapper,19.5,15,6,,Y,
e93_x26_2,e,30,35,17,,,LQ
e93_x27,e,17,14,7,50,,LQ
e93_x28,f,21,17,8,,Y,
e93_x29,f,,,,,Y,
e93_x30,blade,22.5,7,4,,,RJ
e93_x31,e,15,11,2,,,LQ
e93_x32,core,37,30,19,,,LQ
e93_x33_1,LD,23,13,8,,,LQ
e93_x33_2,e,29,21,6,,,LQ
e93_x33_3,f ,,,,,,LQ
e93_x34,bladelet,18,10,4,,,LQ
e93_x35,core,18,20,14,,,LQ
e93_x36,core,32,24,18,,Y,
e93_x37,e,19,12,3,,,LQ
e93_x38_1,bladelet,19,12,7,,,RJ
e93_x38_2,bladelet,21,15,7,,,LQ
e93_x39,f,,,,,,LQ
e93_x40,lunate,22,7,3,,,RJ
e93_x41,e,12,14,3,,,LQ
e93_x42,bladelet,16,7,2.5,,,LQ
e93_x43_1,f,,,,,Y,
e93_x43_2,e,19,17,5,,,LQ
e93_x44,f,20,13,4.5,75,,BJ
e93_x45,e,18,30,7,,,LQ
e93_x46,e,18,12,4,,,RJ
e93_x47,e,19,9,5,,,LQ
e93_x48,f,,,,,,LQ
e93_x49,core,20,28,19,,,LQ
e93_x50,e,29,12,5,,,LQ
e93_x51,core,23,18,14,,,LQ
e93_x52,bladelet,17,7,7,,,RJ
e93_x53,e,9,22,2,,,LQ
e93_x54,bladelet,20,10,3,,,LQ
e93_x55,scrapper,21,22,7,,,LQ
e93_x56_1,core,22,20,17,,,LQ
e93_x56_2,raw_mat,31,42,18,,,LQ
e93_x57,raw_mat,29,24,12.5,,,LQ
e94_x1_1,e,15,15,3,,Y,
e94_x1_2,scrapper,16.5,8,4.5,,,LQ
e94_x2,f,,,,,Y,
e94_x3,raw_mat,47,32,21,,,LQ
e94_x4,blade,34.5,14,5.5,,,
e94_x5,raw_mat,,,,,Y,
e94_x6,e,13.5,13,3,,,LQ
e94_x7,f ,,,,,,LQ
e94_x8,raw_mat,25,23,14,,Y,
e94_x9,scrapper,10.5,16,4,,Y,
e94_x10,e,14,21.5,5,,,LQ
e94_x11,e,16.5,8,2.5,,,LQ
e94_x12,bladelet,15,5,2.5,,,LQ
e94_x14_1,bladelet,11,11,3,,,LQ
e94_x14_2,f,14,10,1.5,,,LQ
e94_x15,e,16,16,2.5,,Y,
e94_x16,e,15,13.5,2,,,LQ
e94_x17,e,27,19,4.5,,,LQ
e94_x18,raw_mat,23,26,18,,Y,
e95_x1,e,,,,,,LQ
e95_x2,e,12,12,8.5,50,,LQ
e95_x3,e,20,14,5,,,LQ
e95_x4_1,bladelet,12,8,1.5,,,LQ
e95_x4_2,e,12,9,2.5,,,LQ
e95_x5,e,14,5.5,2,,,LQ
e95_x6,lunate,20,6.5,4,,,LQ
e95_x7,e,14,11,8,50,,GJ
e95_x8,e,12,16,2,,,LQ
e95_x9,bladelet,17,8,2,,,LQ
e95_x10,scrapper,9.5,16,4,,,LQ
e95_x11,core,9,11.5,5,,,LQ
e95_x12,e,14,27,8,,,LQ
e95_x13,blade,29,13.5,4.5,,,RJ
e95_x14_1,core,20.5,14,12,,,LQ
e95_x14_2,raw_mat,27,22,22,,Y,LQ
e95_x15,e,14,28,13,50,,LQ
e95_x16,blade,17.5,9,3.5,,,LQ
e95_x17,bladelet,23,8,4,,,LQ
e95_x18,bladelet,15,10,3,,,LQ
e95_x19,e,14,11,5,,,LQ
e95_x20,e,14,12.5,4,,,LQ
e95_x21,blade,28,7,3.5,,,LQ
e95_x22,bladelet,12.5,10,4,,,LQ
e95_x23,raw_mat,12,14,9,,,LQ
e95_x24,e,13,10,4,,,LQ
e95_x25,e,19,33,8,,,LQ
e95_x26_1,e,21,16,6,,,LQ
e95_x26_2,raw_mat,18,17,11,,,LQ
e95_x27_1,e,27,17,6.5,,,LQ
e95_x27_2,e,15,15,4,,,LQ
e95_x28,e,15,25,6,,,LQ
e95_x29,raw_mat,20,13,11,,,LQ
e95_x30,bladelet,,,,,,
e95_x31,e,18,16.5,4.5,,,LQ
e95_x32,e,25,10,4,,,LQ
e95_x33,e,12,9.5,5,,Y,
e95_x34,e,32,26.5,15,,Y,
e95_x35,raw_mat,27,24,16,,,LQ
e95_x36,f,16,17,4.5,100,,RJ
e95_x37,e,20.5,10.5,3.5,,,BJ
e95_x38,e,21,15,4,,,LQ
e95_x39,lunate,12,4,2,,Y,
e95_x40,raw_mat,28,22.5,16,Y,,LQ
e95_x41,lunate,15.5,5,3,,,LQ
e95_x42,bladelet,19,8.5,3.5,,Y,
e95_x43,raw_mat,22,17,9.5,90,,LQ
e95_x44,bladelet,,,,,,
e95_x45,raw_mat,14.5,10,7.5,50,Y,
e95_x46,e,21,13,4,25,,LQ
e95_x47,bladelet,26,14,5,,,LQ
e96_x1_1,lunate,,,,,,LQ
e96_x1_2,bladelet,16.5,11,3.5,,,LQ
e96_x2,e,31,12,7,,,LQ
e96_x3_1,e,27,9.5,4,,,LQ
e96_x3_2,f,,,,,Y,
e96_x4,f,,,,,,LQ
e96_x5,f,,,,100,Y,
e96_x6,bladelet ,21,9.5,2,,,LQ
e96_x7,f,18.5,12.5,3.5,,,LQ
e96_x8,raw_mat,27,14,11,,,LQ
e96_x9,raw_mat,23.5,16,11,,,LQ
e96_x10,e,34,27,18,,Y,LQ
e96_x11,bladelet,22,10,2.5,,,LQ
e96_x12,f,17,22.5,9.5,100,,BJ
e96_x13,f ,,,,,Y,
e96_x14,raw_mat,15,23,9.5,,,LQ
e96_x15,e,34,9.5,4.5,,,LQ
e96_x16,f,,,,,Y,
e96_x17,bladelet,14.5,10.5,4,,Y,
e96_x18,f,,,,,Y,
e96_x20_1,e,10,11.5,2,,,LQ
e96_x20_2,raw_mat,,,,,,LQ
e96_x21,e,10,13,5,50,,LQ
e96_x22,f,26,12.5,6,,,RJ
e96_x23,raw_mat,25.5,20.5,10.5,,,LQ
e96_x25,e,22,13,7,,,LQ
e96_x26,raw_mat,,,,100,,LQ
e96_x27,f ,,,,50,,GJ
e96_x28,bladelet,14.5,11.5,5,,,LQ
e96_x29,raw_mat,,,,,Y,
e96_x30,raw_mat,,,,50,,LQ
e96_x31_1,bladelet ,21.5,6.5,1.5,,,LQ
e96_x31_2,f,,,,,,LQ
e96_x33,e,27.5,33.5,8,,,LQ
e96_x34,scrapper,17,17,4.5,,Y,
e96_x35,e,13,12.5,4,,,LQ
e96_x36,bladelet ,21,7,4,,,LQ
e96_x37,e,22,15.5,3.5,,,LQ
e96_x38,f,,,,,Y,
e96_x39,f,,,,,Y,
e96_x40,e,15,14,4,100,,LQ
e96_x41,e,11.5,15.5,3.5,,,LQ
e96_x42,bladelet,13.5,8,3,,Y,
e96_x43,f,,,,,Y,
e96_x44,bladelet,22,10,4.5,,Y,
e96_x45,core,29,24.5,11,,,LQ
e96_x46,f,,,,,Y,
e96_x47,f,,,,,Y,
e96_x48,f,12,21.5,7,100,,BJ
e96_x49,PD,31,13,5,,,LQ
e96_x50,e,26.5,9,6,,,LQ
e96_x51,core,32.5,24,13,,,LQ
e96_x52,raw_mat,18,35,24,75,Y,
e96_x53_1,bladelet ,18,7,5,,,LQ
e96_x53_2,e,19,14,6,,,LQ
e96_x53_3,e,14,16.5,6,100,,LQ
e96_x54_1,bladelet ,21.5,9,1.5,,,LQ
e96_x54_2,e,12,12.5,4,,,BJ
e96_x55,f,,,,,Y,
e96_x56,blade,32,12,14,,,LQ
e96_x57,core,28,26,21,,,LQ
e96_x58,raw_mat,,,,,,LQ
e96_x59,bladelet ,21.5,6,2.5,25,,
