id,typology,length,width,thickness,cortex_per_c ,burnt,material
e91_x1,prismatic_core,34,24,15,,,Q1
e91_x2,f_blade,16,13,7,50,,Q1
e91_x3,raw_mat,,,,,,Q4
e91_x4,f_blade,19,11,3,,,BJ
e91_x5,prismatic_core,29,21,13.5,,,Q1
e91_x6,f_blade,19,10,3,50,Y,
e91_x7,f_blade,24,19.5,8.5,,,BJ
e91_x8,f,,,,,,Q1
e91_x9,f_blade,18,15,6.5,75,,Q1
e91_x10,blade,18.5,7,1.5,,,Q1
e91_x11,blade,31,13,6.5,,,Q2
e91_x12,core,23.5,16,9.5,,,BJ
e91_x13,core,21,17.5,16,,,GJ
e91_x14,f_blade,25,13,5,50,,BJ
e91_x15,core,29,27,23,,,Q1
e91_x16,f_blade,22,12,3.5,,,Q1
e91_x17,core,30,31,18,,,Q1
e91_x18,f_blade,21.5,12,4,,,Q1
e91_x19,blade,24,10.5,6,,,Q1
e91_x20,f_blade,-15,11,3,,,Q1
e91_x21,core,14.5,23,13,,,Q1
e91_x22,f_core,-39,30,26,,Y,
e91_x23,f_blade,20,11,5,,,Q1
e91_x24,e,41,36.5,11,,,Q1
e91_x25,Core,26.5,22,16,50,,Q1
e91_x26,f_blade,15,14,4,,,Q1
e91_x27,f,,,,,,Q1
e91_x28,f_blade,20,15,9,,,RJ
e91_x29,f_blade,20,20,6,,,Q1
e91_x30,f_blade,-22,8,2.5,,,Q3
e91_x31,f,,,,,Y,
e91_x32,f_blade,20,11.5,3,,,Q3
e91_x33,f,,,,,,Q1
e91_x34,f_blade,21,14,6,25,,Q1
e91_x35,f_blade,24,17,5,,,Q1
e91_x36,f_blade,27,13,8,,,Q1
e91_x37,f_blade,21.5,18,7,,,Q4
e91_x38,f_blade,21,13.5,4,10,,GJ
e91_x39,f_lun,-13,5,2.5,,,Q1
e91_x40,f_blade,12,20,3.5,,,Q1
e91_x42,blade,16,7,2.5,,,Q1
e91_x43,f,,,,,Y,
e91_x44,core,24,18,12,,,Q1
e91_x45,core,35,28,22,,Y,
e91_x46,f ,,,,,,RJ
e91_x47,f_blade,23,14,5,50,Y,
e91_x48,blade,20,7,3,50,,Q1
e91_x49,f_blade,13.5,21.5,6.5,,,Q1
e92_x1,raw_mat,19,20,12,,,Q3
e92_x2,f,,,,,Y,
e92_x3,f,,,,,Y,
e92_x4,f_blade,21.5,12,8,,Y,Q1
e92_x5,blade,19,6.5,3.5,,,Q1
e92_x6,f_blade,25,20.5,8,100,,BJ
e92_x7,f_blade,23.5,17,5,40,,BJ
e92_x8,f_blade,15,27,5.5,,,Q1
e92_x9,raw_mat,,,,,,Q4
e92_x10,f_blade,21,22,8,75,Y,Q1
e92_x11,f_blade,19.5,11,4,,,Q1
e92_x12,f_blade,25,22.5,5,,,Q1
e92_x13,e,27,14,4,,Y,RJ
e92_x14,e,29,31,12,,,Q4
e92_x15,e,31.5,12,5,,,Q1
e92_x16,f_blade,20,21,9,,,Q1
e92_x17,f_blade,20.5,19,10,,Y,
e92_x18,raw_mat,,,,,Y,
e92_x19,f_blade,13,17,8,,,Q1
e92_x20,f_blade,17,18,6.5,,,RJ
e92_x21,f,,,,,Y,
e92_x22,blade,21.5,8,3,,,Q1
e92_x23,f_blade,-14,11.5,3,,Y,
e92_x24,f_blade,-20,8,6,,,Q1
e92_x25,blade,26.5,8,6.5,,,Q1
e92_x26,f,,,,,,Q1
e92_x27,f_lun,-14,5,3,,Y,
e92_x28,f,,,,,,Q1
e92_x29,f_blade,18,12,6,50,Y,
e92_x30,f_blade,16,17,2.5,,,Q1
e92_x31,f_blade,24,13.5,5.5,,,Q1
e92_x32,f_blade,20,22,5,,Y,
e92_x33,raw_mat,,,,,,Q1
e92_x34,blade,21,9.5,3,50,,Q1
e92_x35,blade,18.5,8,2.5,,,Q1
e92_x36,f core,,,,,Y,
e92_x37,core,29,36,43,,,Q1
e92_x39,blade,41,11,7,,,Q1
e92_x40,lun,35.5,13,8,,,Q4
e92_x41,raw_mat,,,,,Y,
e92_x42,e,26.5,18,8,80,,Q1
e92_x43,f,,,,,Y,
e92_x44,f_blade,20,16,5,,,Q1
e92_x45,f_blade ,-24,12.5,5,,,Q1
e92_x46,f_blade,21,26,7,,Y,
e92_x47,f,,,,,Y,
e92_x48,e,25,31,10.5,25,,Q1
e92_x49,chunk,,,,,,Q1
e92_x50,f_blade,17,20,5,,Y,
e92_x51,f_blade,18,10,2,,,Q1
e92_x52,e,28,15.5,4.5,,Y,
e92_x53,lun,18,8.5,4.5,,,Q1
e92_x54,f,,,,,,Q1
e92_x55,blade,20,6.5,2,,,Q1
e92_x56,f_core,,,,,,Q1
e92_x57,f,,,,,,Q1
